year,id,name,color
2025,morning_meeting,朝会,#3b82f6
2025,gyro_holiday,GYRO休み,#374151
2026,morning_meeting,朝会,#3b82f6
2026,gyro_holiday,GYRO休み,#14b8a6
2026,mnifpm1rz9ni,パートナー休み,#64748b
2026,mniaobbgq5h3,社内イベント,#ec4899
2026,mni9tyvff3wd,アワード,#eab308
2026,mnic5n9yiyhe,資格,#a855f7
2026,mnifv40ipg2d,CSR,#22c55e
2026,mnift6eohmzk,メディア露出,#f97316
2026,mnig0pvgrp9z,対外発信,#dc2626
2026,mnipa99fm631,社内勉強会,#6366f1
2027,morning_meeting,朝会,#3b82f6
2027,gyro_holiday,GYRO休み,#14b8a6
2027,mnk0erm7gzq3,パートナー休み,#64748b
2027,mnk0erm7cvwo,社内イベント,#ec4899
2027,mnk0erm74evt,アワード,#eab308
2027,mnk0erm75bqj,資格,#a855f7
2027,mnk0erm7dqz0,CSR,#22c55e
2027,mnk0erm7urq4,メディア露出,#f97316
2027,mnk0erm7o662,対外発信,#dc2626
2027,mnk0erm7dqih,社内勉強会,#6366f1
2028,morning_meeting,朝会,#3b82f6
2028,gyro_holiday,GYRO休み,#374151
